Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-26,401.4676551752138,402.39768781067454,392.9616571677764,394.44390869140625,4822975,0.0,0.0
2023-12-27,395.47079566986844,400.20820539607723,394.4535753258762,397.1855773925781,3750095,0.0,0.0
2023-12-28,400.07258423521336,400.07258423521336,394.5117241662759,396.36212158203125,3288345,0.0,0.0
2023-12-29,397.6893499925352,400.6926128726327,394.87016006595746,397.8443603515625,5291010,0.0,0.0
2024-01-01,398.28026456452324,399.1425040680051,395.4804696550378,396.9820861816406,1523610,0.0,0.0
2024-01-02,397.20498121787085,399.09413868633055,390.6172031115589,393.3395080566406,5389635,0.0,0.0
2024-01-03,394.2985805577603,406.5053729942108,393.13601763421144,404.9649963378906,6787670,0.0,0.0
2024-01-04,406.89287401808593,417.0651958685381,404.9940488842583,416.22235107421875,7695105,0.0,0.0
2024-01-05,417.1621004803037,421.76386534141494,410.66151039686474,420.9210205078125,8114435,0.0,0.0
2024-01-08,423.1686044840903,431.1127157921854,419.20624621710573,425.5615234375,7487975,0.0,0.0
2024-01-09,427.5475405487051,430.73484679067366,416.69705202844693,420.0393981933594,5463445,0.0,0.0
2024-01-10,422.3935660428779,423.91457749331414,413.8100779517446,416.580810546875,2470725,0.0,0.0
2024-01-11,429.7466864158116,443.67792810306696,427.04374690601554,441.7209777832031,14663945,0.0,0.0
2024-01-12,444.24951171875,446.2452220171176,437.9136001298925,444.24951171875,5187280,0.0,0.0
2024-01-15,444.24951171875,444.24951171875,444.24951171875,444.24951171875,0,0.0,0.0
2024-01-16,450.488550788308,452.4164385663004,444.68549268095376,447.5240478515625,6647950,0.0,0.0
2024-01-17,444.48202187703544,449.10318138456284,434.0190738862168,443.3194885253906,5308645,0.0,0.0
2024-01-18,440.02561800169013,443.183861825428,425.60028175853205,437.0029602050781,7883550,0.0,0.0
2024-01-19,440.0256178754789,449.8976169946436,440.0256178754789,446.0030517578125,5296785,0.0,0.0
2024-01-23,443.13543269332365,448.34754168208644,435.4916447848834,441.67254638671875,10999270,0.0,0.0
2024-01-24,432.8274280006135,448.5509414065669,428.11911049593647,446.1192626953125,8501730,0.0,0.0
