Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
LUPIN,7696,56232,63928,71632.260885,54027360845.75,79264.0793425,7631.8184575,38186,2194.0
LTIM,9095,57244,66339,69475.9923,45485935791.0,78556.57521,9080.58291,40561,5124.5
BIOCON,7266,51163,58429,68722.47975,50076375925.0,77286.739,8564.25925,37296,378.1
M&M,9683,100781,110464,69008.76216,74737628112.0,76444.04328,7435.28112,171698,3533.0
TMPV,23207,147731,170938,70953.51616,45724111640.0,76439.83256,5486.3164,190754,378.0
ALKEM,9078,97170,106248,62467.9605,67774716733.75,73045.1278375,10577.1673375,20313,5400.0
SHRIRAMFIN,7550,45430,52980,66649.38852,40871284228.5,72555.238305,5905.849785,71916,1063.9
RVNL,15891,49625,65516,67739.221135,24235194973.25,70671.8896175,2932.6684825,114145,309.1
DIXON,10775,91441,102216,61466.94694,54591995108.0,69902.19802,8435.25108,121548,11398.0
DLF,12284,57962,70246,64026.1981425,31364545649.25,68433.027135,4406.8289925,100608,626.95
NAUKRI,13919,73549,87468,58877.10585,32051839796.25,65405.9038125,6528.7979625,53050,1135.0
IEX,12610,66349,78959,57909.324375,31606516650.0,64056.753375,6147.429,55450,123.56
MPHASIS,8605,30429,39034,57782.4324275,21160784053.75,61162.060465,3379.6280375,30347,2452.5
IDEA,6932,19326,26258,56577.2584725,16841631378.0,60658.2522525,4080.99378,140754,11.28
MANAPPURAM,6216,19875,26091,56299.2744,18253256880.0,60461.8182,4162.5438,32141,302.15
INDHOTEL,7804,47049,54853,54360.7029,33668217200.0,58976.3249,4615.622,49366,697.4
PNB,5740,30837,36577,54774.7184,30660780000.0,58927.3984,4152.68,59931,118.55
ADANIGREEN,9051,49474,58525,52120.5324,29084249142.0,57183.98382,5063.45142,68888,949.55
KAYNES,12312,89031,101343,48659.29014,36593427218.0,56220.96232,7561.67218,87461,3943.2
CANBK,5422,30686,36108,52211.08395,31142365447.5,56000.248425,3789.164475,70307,141.65
HEROMOTOCO,6100,45479,51579,51659.39238,39579641752.5,55894.159905,4234.767525,62973,5562.0
COALINDIA,9234,85323,94557,50790.488265,48919753669.5,55755.71496,4965.226695,93062,409.3
FEDERALBNK,3518,18541,22059,50882.6465,27454550250.0,54390.774,3508.1275,29253,287.7
INDUSTOWER,6404,21659,28063,51041.03545,17610734197.0,54023.60742,2982.57197,69207,466.5
AUROPHARMA,7956,31891,39847,50172.497045,20648698339.5,53544.53544,3372.038395,68271,1157.0
INDUSINDBK,7879,22954,30833,50538.18539,15092181762.0,52673.67301,2135.48762,72907,926.25
GODREJPROP,9716,58256,67972,47403.71559,28825196961.0,51855.3552,4451.63961,61901,1804.0
BHARTIARTL,4953,53542,58495,47454.6335575,51970851810.0,51645.8416575,4191.2081,160660,1993.0
TORNTPHARM,4473,35378,39851,45421.04205,37053496130.0,51382.45335,5961.4113,20437,4069.8
MARUTI,5665,124332,129997,43411.70046,96532062936.0,51261.17982,7849.47936,154549,15211.0
TITAN,6269,66566,72835,46395.6444875,50560486247.25,50722.66696,4327.0224725,121326,4175.0
ITC,8891,116732,125623,45016.56976,61420536496.0,49394.23872,4377.66896,306405,313.6
KPITTECH,10402,82155,92557,37398.689895,31249098182.0,45953.769215,8555.07932,39433,860.3
IDFCFIRSTB,5799,25000,30799,43787.6432175,19589932477.5,45724.9217425,1937.278525,60956,81.42
RECLTD,8705,49744,58449,42034.75948,25398897188.0,45096.44636,3061.68688,126458,346.0
ADANIPORTS,5758,33606,39364,41670.033445,24567057907.25,44668.9075175,2998.8740725,83594,1508.0
APOLLOHOSP,3810,68169,71979,35990.836025,65481365700.0,43132.680525,7141.8445,60920,7525.0
NMDC,7514,21028,28542,40900.44645,11894899545.0,42893.6769,1993.23045,78637,79.43
SWIGGY,9625,12751,22376,41687.93044,5693321777.0,42791.86821,1103.93777,46565,335.3
NTPC,7320,63035,70355,40140.342,34994175990.0,42708.2394,2567.8974,146228,364.0
JSWSTEEL,4928,15038,19966,41195.451825,12675358399.5,42524.04582,1328.593995,96667,1229.1
OFSS,7173,67130,74303,35277.8431125,34555162956.75,42201.77268,6923.9295675,41797,6630.0
CDSL,6078,43274,49352,38528.7528525,28543481319.5,42037.4810475,3508.728195,57693,1335.6
POLYCAB,4144,19747,23891,39694.0233125,19030176821.25,41756.166525,2062.1432125,39172,7577.0
JIOFIN,6219,35841,42060,38807.5945,23196530917.0,41209.62867,2402.03417,124344,263.85
PFC,7283,37922,45205,37793.13369,20441872828.0,40532.33197,2739.19828,95755,400.0
PRESTIGE,5370,31443,36813,36562.584195,21822345495.0,39700.979145,3138.39495,17163,1508.2
TATAELXSI,7229,45692,52921,34754.62695,23498034834.0,38981.12529,4226.49834,47868,4814.5
HUDCO,6416,29526,35942,34935.415725,16705654345.5,38059.94418,3124.528455,38298,195.4
AMBER,4347,34101,38448,33514.3795,26266730107.0,38002.68057,4488.30107,33806,7715.0
TRENT,7779,85643,93422,33095.00689,37006122681.0,37999.1337,4904.12681,142631,4249.0
LAURUSLABS,4105,17897,22002,35421.886205,15823424271.0,37936.043915,2514.15771,46017,1010.0
GLENMARK,4529,26934,31463,34373.5378125,21003584133.75,37328.07915,2954.5413375,44755,1997.0
BANKBARODA,4188,20161,24349,35167.81203,17563484688.75,37182.7757925,2014.9637625,64810,287.1
DIVISLAB,5368,41137,46505,33032.57916,25936279073.0,36196.46989,3163.89073,65802,6177.0
JINDALSTEL,4476,17148,21624,33048.0014375,12859398881.25,34802.61525,1754.6138125,31316,1183.6
CUMMINSIND,3490,25726,29216,31069.55588,23374164072.0,34394.6966,3325.14072,27316,4412.0
TATATECH,6417,39754,46171,30409.33256,19298574576.0,34279.51832,3870.18576,28640,594.05
BAJAJ-AUTO,4301,41005,45306,31607.7314025,30926749977.0,34170.5311725,2562.79977,74712,9748.0
IRCTC,5415,58095,63510,29502.8829375,32716272076.25,34119.29745,4616.4145125,50461,614.95
MFSL,4104,33831,37935,30149.95384,25226641712.0,33734.37096,3584.41712,34527,1835.0
ASIANPAINT,5235,41825,47060,31288.994175,25844341852.5,33689.4627,2400.468525,118228,2368.2
ABCAPITAL,2995,16102,19097,31350.83537,17612839317.0,33649.05354,2298.21817,38069,335.5
CROMPTON,6530,30812,37342,30962.7639,14838943608.0,33617.67498,2654.91108,47856,266.8
HDFCAMC,3756,9527,13283,31758.20898,8066979807.0,32631.60705,873.39807,32571,2825.0
AUBANK,3096,12529,15625,30869.3286,12746775760.0,32567.8862,1698.5576,30791,993.5
ANGELONE,4386,23355,27741,29594.88555,16150698820.0,32362.99875,2768.1132,26933,2685.0
JUBLFOOD,4563,19438,24001,30334.702125,13491386212.5,31947.93925,1613.237125,40786,533.05
OIL,4607,30791,35398,29130.75382,20893462114.0,31677.79496,2547.04114,34231,454.9
INDIGO,3965,20011,23976,29397.65985,15025149586.5,31203.455715,1805.795865,101039,4928.1
NYKAA,3291,15699,18990,28215.1884375,13764237718.75,30063.971875,1848.7834375,27150,271.0
KALYANKJIL,5440,36609,42049,26861.00384,18695689422.0,30029.62681,3168.62297,60667,417.9
SBILIFE,3631,39495,43126,27659.8452375,30605364671.25,29954.56695,2294.7217125,47623,2039.0
IREDA,6974,14516,21490,28721.264145,6444944379.0,29919.994935,1198.73079,46794,123.73
UNIONBANK,3556,13447,17003,28222.9690425,10997831014.5,29868.8716875,1645.902645,30241,178.76
LTF,4392,17812,22204,28165.89825,12030522480.0,29730.74805,1564.8498,50232,284.85
POWERGRID,4994,37562,42556,27551.26027,21037995936.0,29449.01713,1897.75686,101053,287.4
MOTHERSON,3324,14807,18131,27062.87697,12254529729.0,29330.59476,2267.71779,49299,130.99
BAJAJFINSV,5388,35524,40912,27343.242625,18281023237.5,29137.725,1794.482375,90450,2027.0
CHOLAFIN,2550,5653,8203,27370.8701875,6229297368.75,28047.093875,676.2236875,32004,1706.7
VOLTAS,4535,21326,25861,25937.94285,12377466026.25,27797.1781125,1859.2352625,51505,1521.3
RBLBANK,2657,7168,9825,26471.6815625,7254946691.5,27453.9497275,982.268165,38769,312.55
DMART,4509,14894,19403,26353.89192,8935718227.5,26950.524195,596.632275,60699,3890.0
GRASIM,3521,16913,20434,25654.25285,12529287865.0,26892.7815,1238.52865,82423,2877.4
YESBANK,3944,9571,13515,25616.67192,6527609478.0,26521.0537,904.38178,59076,20.84
UPL,2489,12932,15421,24721.698850999997,13289355831.4,26031.071665,1309.372814,37401,723.35
AMBUJACEM,4411,24718,29129,24201.526125,14135104672.5,25662.12285,1460.596725,71600,518.75
ULTRACEMCO,3756,24445,28201,24331.485,15904563807.0,25518.32307,1186.83807,71042,12977.0
HAVELLS,3425,16916,20341,24011.6697,12015858590.0,25500.6056,1488.9359,32613,1402.3
MAXHEALTH,4264,18190,22454,23607.238725,10222834193.25,25441.9306575,1834.6919325,42816,1049.0
VBL,4775,16170,20945,24179.1656625,8511616282.5,25179.0784875,999.912825,71625,448.45
BDL,5041,34641,39682,21942.332895,16524932441.5,24950.06731,3007.734415,66061,1240.6
BANKINDIA,2893,3830,6723,24437.29028,3348756892.0,24942.1952,504.90492,17233,161.69
ABB,3119,17585,20704,22577.7045375,13069901670.0,24718.6587375,2140.9542,36702,5768.0
GMRAIRPORT,3388,25579,28967,22322.012985,17720949352.5,24695.66826,2373.655275,45990,94.08
ADANIENSOL,3440,9041,12481,23053.47939,6109061904.0,24081.65343,1028.17404,41776,983.0
