"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"IRFC",11107,145688,156795,57332.243725,9662.32315,66994.566875,34956,121.89
"NTPC",13291,32951,46242,64818.4506,1560.6321,66379.0827,100899,323.45
"HDFCAMC",7589,47449,55038,61799.0676,3823.29177,65622.35937,39747,2708.9
"LTF",6577,14853,21430,63607.6457148,2000.1879754,65607.8336902,27204,303.75
"BHEL",8358,36756,45114,62317.71,2558.31975,64876.02975,53684,281.6
"PNB",6289,32390,38679,61449.4032,3118.8096,64568.2128,63958,120.71
"APLAPOLLO",9299,10329,19628,61163.698225,482.366185,61646.06441,31071,1867
"LAURUSLABS",6519,28046,34565,59265.6346,2329.501075,61595.135675,37728,1072.1
"PAYTM",5957,34409,40366,57931.90481,3355.1205625,61287.0253725,44724,1342
"CIPLA",10564,26681,37245,59921.697,972.399975,60894.096975,64095,1501.5
"SUNPHARMA",9573,28507,38080,59298.21366,1025.053785,60323.267445,77021,1753.4
"MUTHOOTFIN",5519,24732,30251,57852.637975,2214.222725,60066.8607,35021,3812
"POLICYBZR",8453,32028,40481,56793.0657,2322.505465,59115.571165,33310,1915.5
"GODREJCP",9515,19411,28926,57293.7551,1215.3796,58509.1347,29163,1196.5
"BANKBARODA",6485,24024,30509,55839.806685,1947.3137775,57787.1204625,58278,292.9
"CROMPTON",12189,10969,23158,57118.94496,492.22494,57611.1699,54539,259.1
"NATIONALUM",4921,26650,31571,54020.75925,3569.66175,57590.421,33585,290.3
"MOTHERSON",7073,21074,28147,52539.02442,1943.73948,54482.7639,50150,120.27
"BAJAJFINSV",10302,22050,32352,52885.21005,693.47525,53578.6853,107916,2042
"APOLLOHOSP",5837,29133,34970,51719.7029875,1510.2277875,53229.930775,53386,7075
"IRCTC",8250,44474,52724,49592.124925,2573.742675,52165.8676,50958,680.5
"JINDALSTEL",8054,15237,23291,51056.697375,869.5739375,51926.2713125,36253,1014
"VBL",9727,29919,39646,50264.262775,1604.2907075,51868.5534825,79050,479.9
"GODREJPROP",9154,11114,20268,51172.40733,585.93975,51758.34708,52979,2019
"SOLARINDS",5889,85548,91437,45666.418255,5252.872855,50919.29111,36443,12502
"TATAPOWER",8697,31178,39875,48426.13053,1409.377525,49835.508055,85258,382.4
"FEDERALBNK",3521,22397,25918,47114.3555,2187.326,49301.6815,31675,265.1
"MAXHEALTH",8497,16601,25098,48059.06133,811.75983,48870.82116,57175,1075
"NESTLEIND",7619,9386,17005,47991.94425,299.5609,48291.50515,50746,1253.6
"PERSISTENT",6848,53051,59899,44708.37608,2950.1663,47658.54238,42021,6473
"AUBANK",4733,11881,16614,46525.6815,1002.6257,47528.3072,38854,980
"HDFCLIFE",5381,11503,16884,45251.76106,597.68291,45849.44397,52606,763
"SBICARD",6465,8700,15165,44837.4204,433.9256,45271.346,32858,869
"NYKAA",5480,16801,22281,43738.950625,1239.206875,44978.1575,29142,257
"IOC",5412,22123,27535,43434.2936625,1416.0456375,44850.3393,39101,163.15
